Apache Airflow,ADOPT,Data management
BigQuery,ADOPT,Data management
Dataform,ADOPT,Data management
Memcached,ADOPT,Data management
MongoDB,ADOPT,Data management
MySQL,ADOPT,Data management
OpenSearch,ADOPT,Data management
Orchestrator,ADOPT,Data management
Percona MySQL,ADOPT,Data management
PostgreSQL,ADOPT,Data management
Proxysql,ADOPT,Data management
RabbitMQ,ADOPT,Data management
Redis,ADOPT,Data management
ScyllaDB,ADOPT,Data management
Cassandra,HOLD,Data management
Clickhouse,HOLD,Data management
ElasticSearch,HOLD,Data management
Dragonfly,TRIAL,Data management
Alpine,ADOPT,Infrastructure
Amqproxy,ADOPT,Infrastructure
Ansible,ADOPT,Infrastructure
ArgoCD,ADOPT,Infrastructure
AWS,ADOPT,Infrastructure
Cert-Manager,ADOPT,Infrastructure
Cloudflare,ADOPT,Infrastructure
Code climate,ADOPT,Infrastructure
Consul,ADOPT,Infrastructure
ContainerD,ADOPT,Infrastructure
CoreDNS,ADOPT,Infrastructure
Debian,ADOPT,Infrastructure
Docker,ADOPT,Infrastructure
Envoy,ADOPT,Infrastructure
Estafette GKE,ADOPT,Infrastructure
GKE,ADOPT,Infrastructure
Gitlab,ADOPT,Infrastructure
GCP,ADOPT,Infrastructure
Grafana Tempo,ADOPT,Infrastructure
Helm,ADOPT,Infrastructure
Istio,ADOPT,Infrastructure
Kaniko,ADOPT,Infrastructure
Keda,ADOPT,Infrastructure
Kiali,ADOPT,Infrastructure
Kubernetes,ADOPT,Infrastructure
LEGO,ADOPT,Infrastructure
Let's Encrypt,ADOPT,Infrastructure
Linux,ADOPT,Infrastructure
Loki,ADOPT,Infrastructure
Mcrouter,ADOPT,Infrastructure
Minikube,ADOPT,Infrastructure
Netdata,ADOPT,Infrastructure
Newrelic,ADOPT,Infrastructure
Nginx,ADOPT,Infrastructure
Pingdom,ADOPT,Infrastructure
Pritunl,ADOPT,Infrastructure
Prometheus,ADOPT,Infrastructure
Pulumi,ADOPT,Infrastructure
Selenoid,ADOPT,Infrastructure
Sentry,ADOPT,Infrastructure
Sonarqube,ADOPT,Infrastructure
Vault,ADOPT,Infrastructure
VictoriaMetrics,ADOPT,Infrastructure
ARM64,ASSESS,Infrastructure
DataDog,HOLD,Infrastructure
garden,HOLD,Infrastructure
Github,ASSESS,Infrastructure
Grafana OnCall,HOLD,Infrastructure
Graylog,HOLD,Infrastructure
Haproxy,HOLD,Infrastructure
Jenkins,HOLD,Infrastructure
Moon,HOLD,Infrastructure
Stackdriver,HOLD,Infrastructure
Teamcity,HOLD,Infrastructure
Terraform,HOLD,Infrastructure
Traefik,HOLD,Infrastructure
Grafana Aloy,TRIAL,Infrastructure
Graphite,TRIAL,Infrastructure
OpenTelemetry,TRIAL,Infrastructure
vmagent,TRIAL,Infrastructure
Apache Kafka,Assess,Infrastructure
DayJS,ADOPT,Languages & Frameworks
Golang,ADOPT,Languages & Frameworks
GraphQL,ADOPT,Languages & Frameworks
Java,ADOPT,Languages & Frameworks
Jest,ADOPT,Languages & Frameworks
Npm,ADOPT,Languages & Frameworks
Nuxt.js,ADOPT,Languages & Frameworks
PHP,ADOPT,Languages & Frameworks
SASS,ADOPT,Languages & Frameworks
TypeScript,ADOPT,Languages & Frameworks
Vue,ADOPT,Languages & Frameworks
Vuex,ADOPT,Languages & Frameworks
Webpack,ADOPT,Languages & Frameworks
Bash,HOLD,Languages & Frameworks
JavaScript,hold,Languages & Frameworks
Moment.js,hold,Languages & Frameworks
Gatling,TRIAL,Languages & Frameworks
ModuleFederation,TRIAL,Languages & Frameworks
Pinia,TRIAL,Languages & Frameworks
Vitest,TRIAL,Languages & Frameworks
io-ts,Assess,Languages & Frameworks
Allure,ADOPT,Techniques && Tools
Ansible,ADOPT,Techniques && Tools
ChartMuseum,ADOPT,Techniques && Tools
CircleCI,ADOPT,Techniques && Tools
Cloud Build,ADOPT,Techniques && Tools
Code Climate,ADOPT,Techniques && Tools
Composer,ADOPT,Techniques && Tools
CSSModules,ADOPT,Techniques && Tools
Drone CI,ADOPT,Techniques && Tools
Eslint,ADOPT,Techniques && Tools
GitLab,ADOPT,Techniques && Tools
GitLab Runner,ADOPT,Techniques && Tools
Kustomize,ADOPT,Techniques && Tools
Kyverno,ADOPT,Techniques && Tools
Microservices,ADOPT,Techniques && Tools
Modular Monolith,ADOPT,Techniques && Tools
Npm registry,ADOPT,Techniques && Tools
OpenPolicy Agent,ADOPT,Techniques && Tools
PHPUnit,ADOPT,Techniques && Tools
Pnpm,ADOPT,Techniques && Tools
Reviewdog,ADOPT,Techniques && Tools
Selenium,ADOPT,Techniques && Tools
Sitespeed,ADOPT,Techniques && Tools
SPA,ADOPT,Techniques && Tools
Static Site Generators,ADOPT,Techniques && Tools
Storybook,ADOPT,Techniques && Tools
TestNg,ADOPT,Techniques && Tools
Tilt,ADOPT,Techniques && Tools
VueCli,ADOPT,Techniques && Tools
Allure TestOps,hold,Techniques && Tools
Apache AirFlow,hold,Techniques && Tools
jQuery,hold,Techniques && Tools
Monolithic architecture,hold,Techniques && Tools
ReportPortal,hold,Techniques && Tools
Selenide,HOLD,Techniques && Tools
SonarQube,hold,Techniques && Tools
Test Rail,hold,Techniques && Tools
TSLint,hold,Techniques && Tools
API Gateway,TRIAL,Techniques && Tools
MicroFrontends,TRIAL,Techniques && Tools
Owasp zap,TRIAL,Techniques && Tools
Playwright,TRIAL,Techniques && Tools
Testcontainers,TRIAL,Techniques && Tools
gRPC,Assess,Techniques && Tools
Vite,Assess,Techniques && Tools
